target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,780,6,0.38,1,1,go_near(1)
2,760,6,0.19,1,2,go_near(2)
3,701,6,0.2,1,3,go_near(3)
4,710,6,0.2,1,4,go_near(4)
5,772,6,0.21,1,5,go_near(5)
6,756,6,0.21,1,6,go_near(6)
7,697,6,0.2,1,7,go_near(7)
8,701,6,0.19,1,8,go_near(8)
9,776,6,0.21,1,9,go_near(9)
10,760,7,0.22,1,10,go_near(10)
11,701,7,0.21,1,11,go_near(11)
12,704,7,0.21,1,12,go_near(12)
13,772,7,0.22,1,13,go_near(13)
14,759,7,0.22,1,14,go_near(14)
15,698,7,0.21,1,15,go_near(15)
16,705,7,0.22,1,16,go_near(16)
17,773,7,0.21,1,17,go_near(17)
18,759,7,0.21,1,18,go_near(18)
19,694,7,0.21,1,19,go_near(19)
20,701,6,0.19,0,8,go_near(8)
21,768,7,0.22,1,21,go_near(21)
22,756,7,0.22,1,22,go_near(22)
23,693,7,0.21,1,23,go_near(23)
24,702,7,0.21,1,24,go_near(24)
25,773,7,0.23,1,25,go_near(25)
26,759,7,0.22,0,14,go_near(14)
27,695,7,0.21,1,27,go_near(27)
28,707,7,0.22,1,28,go_near(28)
29,769,7,0.23,1,29,go_near(29)
30,757,7,0.22,1,30,go_near(30)
