target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,1135,6,0.42,1,1,go_near(1)
2,1027,6,0.22,1,2,go_near(2)
3,1089,6,0.25,1,3,go_near(3)
4,1038,6,0.24,1,4,go_near(4)
5,1121,6,0.25,1,5,go_near(5)
6,1091,6,0.25,1,6,go_near(6)
7,1028,6,0.23,1,7,go_near(7)
8,1028,6,0.23,1,8,go_near(8)
9,1086,6,0.24,1,9,go_near(9)
10,1123,7,0.26,1,10,go_near(10)
11,1039,7,0.26,1,11,go_near(11)
12,1026,7,0.26,1,12,go_near(12)
13,1088,7,0.26,1,13,go_near(13)
14,1113,7,0.25,1,14,go_near(14)
15,1033,7,0.25,1,15,go_near(15)
16,1122,7,0.27,1,16,go_near(16)
17,1032,7,0.25,1,17,go_near(17)
18,1083,7,0.26,1,18,go_near(18)
19,1029,7,0.25,1,19,go_near(19)
20,1118,7,0.26,1,20,go_near(20)
21,1086,7,0.26,1,21,go_near(21)
22,1029,7,0.26,0,17,go_near(17)
23,1028,7,0.25,1,23,go_near(23)
24,1116,7,0.27,1,24,go_near(24)
25,1087,7,0.26,1,25,go_near(25)
26,1032,7,0.26,1,26,go_near(26)
27,1029,7,0.26,1,27,go_near(27)
28,1120,7,0.27,1,28,go_near(28)
29,1080,7,0.26,1,29,go_near(29)
30,1032,7,0.26,1,30,go_near(30)
31,1034,7,0.26,1,31,go_near(31)
32,1116,7,0.27,1,32,go_near(32)
33,1083,7,0.26,1,33,go_near(33)
34,1029,7,0.26,1,34,go_near(34)
35,1023,7,0.25,1,35,go_near(35)
36,1116,7,0.27,1,36,go_near(36)
37,1088,7,0.26,0,13,go_near(13)
38,1029,7,1.6,1,38,go_near(38)
39,1029,7,0.26,0,31,go_near(31)
40,1115,7,0.27,0,14,go_near(14)
41,1083,7,0.26,0,37,go_near(37)
42,1029,7,0.26,0,12,go_near(12)
43,1027,7,0.26,1,43,go_near(43)
44,1125,7,0.27,1,44,go_near(44)
45,1084,7,0.26,1,45,go_near(45)
46,1028,7,0.26,0,17,go_near(17)
47,1028,7,0.26,1,47,go_near(47)
48,1116,7,0.27,0,28,go_near(28)
49,1085,7,0.26,0,25,go_near(25)
50,1026,7,0.26,0,22,go_near(22)
