target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,2098,6,0.54,1,1,go_near(1)
2,2089,6,0.34,0,1,go_near(1)
3,2094,6,0.35,1,3,go_near(3)
4,2095,7,0.38,0,14,go_near(14)
5,2090,6,0.34,1,5,go_near(5)
6,2085,6,0.36,0,2,go_near(2)
7,2090,6,0.37,0,3,go_near(3)
8,2086,7,0.37,0,14,go_near(14)
9,2094,6,0.36,1,9,go_near(9)
10,2089,6,0.36,0,1,go_near(1)
11,2094,7,0.36,0,15,go_near(15)
12,2089,7,0.38,0,15,go_near(15)
13,2090,7,0.38,1,13,go_near(13)
14,2088,7,0.38,1,14,go_near(14)
15,2091,7,1.73,1,15,go_near(15)
16,2090,7,0.36,0,15,go_near(15)
17,2091,7,0.38,1,17,go_near(17)
18,2088,7,0.37,0,13,go_near(13)
19,2087,7,0.38,0,15,go_near(15)
20,2086,7,0.39,0,15,go_near(15)
21,2086,6,0.37,0,1,go_near(1)
22,2085,7,0.39,0,14,go_near(14)
23,2086,7,0.38,0,15,go_near(15)
24,2087,7,0.38,0,15,go_near(15)
25,2091,7,0.38,0,15,go_near(15)
26,2088,7,0.38,0,15,go_near(15)
27,2088,7,0.38,0,15,go_near(15)
28,2092,7,0.36,0,15,go_near(15)
29,2087,7,0.39,0,15,go_near(15)
30,2086,7,0.39,0,15,go_near(15)
